Gaspar_code,Family,Genus,Species,Sizec,Size,Mobility,Activity,Schooling,Position,Diet_Mouillot_2014,Diet_Parravicini_2020
17045,Gobiidae,Bathygobius,laddi,5,1,1,1,1,1,IM,Microinvertivores
17050,Gobiidae,Callogobius,flavobrunneus,7,2,1,1,1,1,IM,Microinvertivores
17051,Gobiidae,Myersina,pretoriusi,7.5,2,1,1,2,NA,PK,Microinvertivores
17056,Gobiidae,Fusigobius,duospilus,6,1,1,1,3,1,IM,Microinvertivores
1706,Pomacentridae,Chromis,chromis,25,3,2,1,5,3,PK,Planktivores
17070,Tripterygiidae,Cremnochorites,capensis,8,2,1,1,1,1,IM,
17071,Clinidae,Pavoclinus,litorafontis,21,3,1,1,1,1,IM,
17085,Anomalopidae,Photoblepharon,steinitzi,11,2,2,NA,NA,NA,PK,
171,Lutjanidae,Lutjanus,purpureus,100,6,2,1,3,2,IM,Crustacivores
17112,Hemiramphidae,Zenarchopterus,gilli,20,3,3,1,3,3,PK,
17189,Holocentridae,Myripristis,tiki,21.2,3,2,3,3,2,PK,Crustacivores
17190,Holocentridae,Myripristis,woodsi,25,3,2,3,3,2,PK,Crustacivores
172,Lutjanidae,Lutjanus,quinquelineatus,38,4,2,3,5,2,IM,Crustacivores
17239,Syngnathidae,Minyichthys,sentus,6,1,1,1,1,1,IM,Microinvertivores
17252,Scorpaenidae,Scorpaena,annobonae,4.400000095,1,1,2,1,1,IM,Crustacivores
17254,Scorpaenidae,Scorpaena,ascensionis,3.75,1,1,2,1,1,IM,Crustacivores
17256,Scorpaenidae,Scorpaena,canariensis,14,2,1,2,1,1,IM,Crustacivores
17259,Scorpaenidae,Scorpaena,loppei,15,3,1,2,1,1,IM,Crustacivores
17262,Scorpaenidae,Scorpaena,mellissii,28.5,3,1,2,1,1,IM,Crustacivores
17283,Scorpaenidae,Scorpaenodes,africanus,90,6,1,2,1,1,FC,Piscivores
17284,Scorpaenidae,Scorpaenodes,elongatus,15,3,1,2,1,1,IM,Crustacivores
17285,Scorpaenidae,Scorpaenodes,insularis,10,2,1,2,1,1,IM,Crustacivores
1729,Muraenidae,Muraena,helena,150,6,1,3,1,1,FC,Piscivores
173,Lutjanidae,Lutjanus,rivulatus,80,5,2,3,1,2,FC,Macroinvertivores
1730,Muraenidae,Gymnothorax,unicolor,100,6,1,2,1,1,FC,Crustacivores
17345,Ophichthidae,Muraenichthys,gymnopterus,30,3,1,3,1,1,IM,Crustacivores
17352,Serranidae,Holanthias,caudalis,21.39999962,3,1,1,4,2,PK,Crustacivores
17354,Serranidae,Holanthias,fronticinctus,22,3,1,1,4,2,PK,Crustacivores
17360,Apogonidae,Apogon,axillaris,15,3,1,3,3,2,PK,Crustacivores
17388,Muraenidae,Uropterygius,supraforatus,40,4,1,3,1,1,IM,Crustacivores
17389,Chlopsidae,Kaupichthys,atronasus,12,2,1,3,1,1,IM,
17390,Chlopsidae,Kaupichthys,brachychirus,13,2,1,3,1,1,IM,
17393,Ophichthidae,Cirricaecula,johnsoni,40,4,1,3,1,1,IM,Crustacivores
17394,Ophichthidae,Elapsopis,versicolor,52,5,1,3,1,1,IM,
17396,Ophichthidae,Evips,percinctus,12.6,2,1,3,1,1,IM,Microinvertivores
17399,Ophichthidae,Ichthyapus,vulturis,60,5,1,3,1,1,FC,Crustacivores
17404,Congridae,Poeciloconger,fasciatus,60,5,2,3,1,1,FC,
17407,Ophichthidae,Echelus,uropterus,60,5,1,3,1,1,IM,Crustacivores
1741,Ophichthidae,Ophichthus,rufus,60,5,1,1,1,1,IM,Crustacivores
17410,Ophichthidae,Schismorhynchus,labialis,20,3,1,3,1,1,IM,Crustacivores
17414,Ophidiidae,Brotula,townsendi,75,5,1,3,1,1,FC,
1742,Ophidiidae,Ophidion,barbatum,25,3,1,1,1,1,IM,
17420,Gobiesocidae,Liobranchia,stria,1.8,1,1,1,1,1,IM,
17422,Gobiesocidae,Lepadichthys,minor,2.2,1,1,1,1,1,IM,
17426,Haemulidae,Pomadasys,suillus,40,4,2,2,4,2,IM,Macroinvertivores
17428,Holocentridae,Sargocentron,dorsomaculatum,19.66,3,2,3,1,2,IM,Crustacivores
17430,Syngnathidae,Micrognathus,brevirostris pygmaeus,6,1,1,1,1,1,IM,
17444,Plesiopidae,Acanthoplesiops,hiatti,2.4,1,1,1,1,1,IM,
17451,Labridae,Cirrhilabrus,luteovittatus,12,2,1,1,4,2,PK,Microinvertivores
17454,Creediidae,Chalixodytes,tauensis,4,1,1,1,1,1,IM,
17457,Creediidae,Limnichthys,donaldsoni,4.5,1,1,1,1,1,IM,
17462,Blenniidae,Atrosalarias,fuscus fuscus,10,2,1,NA,NA,NA,HD,
17464,Callionymidae,Anaora,tentaculata,6,1,1,1,1,1,IM,
17467,Callionymidae,Callionymus,delicatulus,6,1,1,1,1,1,IM,
17468,Callionymidae,Callionymus,enneactis,8,2,1,1,1,1,IM,
1747,Phycidae,Phycis,phycis,65,5,1,2,1,1,IM,
17470,Callionymidae,Callionymus,simplicicornis,5,1,1,1,1,1,IM,
17471,Acanthuridae,Acanthurus,gahhm,40,4,2,1,3,1,HD,Herbivores Microvores Detritivores
17472,Callionymidae,Synchiropus,circularis,2.3,1,1,1,1,1,IM,
17475,Callionymidae,Synchiropus,laddi,3,1,1,1,3,1,IM,
17476,Xenisthmidae,Allomicrodesmus,dorotheae,2,1,1,NA,1,1,IM,
17479,Microdesmidae,Paragunnellichthys,seychellensis,4,1,1,1,2,2,PK,Microinvertivores
17480,Ptereleotridae,Parioglossus,formosus,4.5,1,1,1,4,2,PK,Microinvertivores
17481,Ptereleotridae,Parioglossus,lineatus,NA,1,1,1,4,2,PK,Microinvertivores
17482,Ptereleotridae,Parioglossus,nudus,2,1,1,1,4,2,PK,
17483,Ptereleotridae,Parioglossus,palustris,2.8,1,1,1,4,2,PK,
17484,Ptereleotridae,Parioglossus,rainfordi,NA,1,1,1,4,2,PK,Microinvertivores
1749,Sparidae,Diplodus,puntazzo,60,5,2,1,3,2,OM,Crustacivores
175,Elopidae,Elops,saurus,100,6,3,NA,NA,NA,FC,
1751,Echeneidae,Remora,remora,86.4,6,3,2,1,3,IM,Piscivores
1752,Sparidae,Diplodus,annularis,24,3,2,1,3,2,IM,Crustacivores
1753,Sparidae,Diplodus,sargus sargus,45,4,2,1,3,2,IM,
1754,Sparidae,Diplodus,vulgaris,45,4,2,1,3,2,IM,Crustacivores
1756,Sparidae,Pagrus,pagrus,91,6,2,1,3,2,IM,Macroinvertivores
1758,Scorpaenidae,Scorpaena,porcus,37,4,1,3,1,1,FC,Crustacivores
1759,Scorpaenidae,Scorpaena,scrofa,50,5,1,3,1,1,FC,Crustacivores
176,Lutjanidae,Lutjanus,russellii,50,4,2,3,3,2,FC,Crustacivores
1760,Scorpaenidae,Scorpaena,notata,24,3,1,2,1,1,IM,Crustacivores
1761,Serranidae,Serranus,scriba,36,4,1,1,1,1,IM,Crustacivores
1765,Sphyraenidae,Sphyraena,sphyraena,165,6,3,NA,3,3,FC,
177,Lutjanidae,Lutjanus,sanguineus,100,6,2,NA,NA,NA,FC,Crustacivores
1770,Syngnathidae,Syngnathus,acus,50,5,1,NA,NA,NA,IM,Piscivores
1771,Synodontidae,Synodus,saurus,40,4,1,1,1,1,FC,Piscivores
1773,Carangidae,Trachinotus,ovatus,70,5,3,1,4,2,IM,Piscivores
178,Lutjanidae,Lutjanus,sebae,116,6,2,3,3,2,FC,Crustacivores
1783,Callanthiidae,Callanthias,ruber,60,5,1,NA,NA,NA,IM,
1785,Sternopygidae,Carapus,acus,20.79999924,3,1,2,1,1,IM,
179,Lutjanidae,Lutjanus,semicinctus,35,4,2,3,3,2,FC,Crustacivores
1798,Gobiidae,Lesueurigobius,suerii,5,1,1,1,1,1,IM,Microinvertivores
7329,Serranidae,Epinephelus,awoara,60,5,2,2,1,1,FC,Crustacivores
180,Lutjanidae,Lutjanus,stellatus,55,5,2,3,3,1,FC,Crustacivores
1800,Acanthuridae,Acanthurus,monroviae,45,4,2,1,4,2,HD,Herbivores Microvores Detritivores
1801,Syngnathidae,Hippocampus,hippocampus,15,3,1,1,1,1,IM,Microinvertivores
1802,Syngnathidae,Hippocampus,guttulatus,16,3,1,1,1,1,IM,Microinvertivores
181,Lutjanidae,Lutjanus,synagris,60,5,2,1,3,2,IM,Crustacivores
182,Lutjanidae,Lutjanus,timorensis,50,5,2,3,3,1,IM,
183,Lutjanidae,Lutjanus,viridis,30,4,3,3,5,1,FC,Crustacivores
1832,Lethrinidae,Gnathodentex,aureolineatus,30,4,2,3,5,1,IM,Macroinvertivores
1833,Lethrinidae,Gymnocranius,griseus,35,4,2,3,3,1,IM,Macroinvertivores
1834,Lethrinidae,Gymnocranius,grandoculis,80,5,2,3,1,1,IM,Macroinvertivores
1835,Lethrinidae,Gymnocranius,audleyi,40,4,2,3,3,1,IM,Macroinvertivores
1837,Lethrinidae,Gymnocranius,euanus,45,4,2,3,3,1,IM,Macroinvertivores
1838,Lethrinidae,Gymnocranius,frenatus,35,4,2,3,3,1,IM,Macroinvertivores
1839,Lethrinidae,Gymnocranius,microdon,45,4,2,3,3,1,IM,Macroinvertivores
184,Lutjanidae,Lutjanus,vitta,40,4,2,3,4,2,FC,Crustacivores
1841,Lethrinidae,Lethrinus,crocineus,60,5,3,NA,NA,NA,IM,Microinvertivores
1842,Lethrinidae,Lethrinus,erythropterus,50,5,3,3,3,1,IM,Piscivores
1843,Lethrinidae,Lethrinus,mahsena,65,5,3,NA,NA,NA,IM,Piscivores
1844,Lethrinidae,Lethrinus,borbonicus,40,4,3,NA,NA,NA,IM,Microinvertivores
1845,Lethrinidae,Lethrinus,microdon,80,5,3,3,3,1,FC,Piscivores
1846,Lethrinidae,Lethrinus,nebulosus,87,6,3,3,4,1,IM,Piscivores
1847,Lethrinidae,Lethrinus,obsoletus,50,4,2,3,3,1,IM,Microinvertivores
1848,Lethrinidae,Lethrinus,rubrioperculatus,50,4,3,2,4,1,IM,Piscivores
1849,Lethrinidae,Lethrinus,semicinctus,35,4,3,3,4,1,IM,Piscivores
1850,Lethrinidae,Lethrinus,variegatus,20,3,3,2,4,1,IM,Microinvertivores
1851,Lethrinidae,Lethrinus,harak,50,4,2,1,3,1,IM,Crustacivores
1852,Lethrinidae,Lethrinus,xanthochilus,70,5,3,2,1,1,IM,Piscivores
1853,Lethrinidae,Lethrinus,amboinensis,70,5,3,3,3,1,IM,Piscivores
1854,Lethrinidae,Lethrinus,atkinsoni,50,4,3,3,4,1,IM,Piscivores
1855,Lethrinidae,Lethrinus,enigmaticus,55,5,3,NA,NA,NA,IM,Piscivores
1856,Lethrinidae,Lethrinus,haematopterus,45,4,3,3,NA,1,IM,Piscivores
1857,Lethrinidae,Lethrinus,laticaudis,56,5,3,3,4,1,IM,Piscivores
1858,Lethrinidae,Lethrinus,miniatus,90,6,3,2,3,1,FC,Piscivores
1859,Lethrinidae,Lethrinus,reticulatus,40,4,3,3,NA,1,IM,Piscivores
186,Lutjanidae,Macolor,macularis,60,5,2,2,4,3,PK,Crustacivores
1862,Lethrinidae,Lethrinus,erythracanthus,70,5,3,3,1,1,IM,Piscivores
1863,Lethrinidae,Lethrinus,lentjan,52,4,2,3,3,1,IM,Microinvertivores
1864,Lethrinidae,Lethrinus,olivaceus,100,6,3,2,1,1,FC,Piscivores
1865,Lethrinidae,Lethrinus,genivittatus,25,3,3,2,4,1,IM,Piscivores
1866,Lethrinidae,Lethrinus,ornatus,45,4,3,3,3,1,IM,Microinvertivores
1867,Lethrinidae,Lethrinus,atlanticus,50,5,2,1,1,2,IM,Piscivores
1868,Lethrinidae,Lethrinus,conchyliatus,76,5,2,3,1,1,IM,Piscivores
1869,Lethrinidae,Monotaxis,grandoculis,60,5,2,3,1,2,IM,Macroinvertivores
187,Lutjanidae,Macolor,niger,75,5,2,2,4,3,PK,Crustacivores
188,Lutjanidae,Ocyurus,chrysurus,86.30000305,6,2,1,3,3,IM,Crustacivores
1886,Caesionidae,Pterocaesio,trilineata,20,3,3,1,5,3,PK,
1887,Carangidae,Pantolabus,radiatus,40,4,3,2,3,3,IM,Piscivores
1888,Carangidae,Alectis,alexandrinus,100,6,3,1,5,3,FC,
1889,Carangidae,Alepes,djedaba,40,4,3,2,5,3,PK,Piscivores
1893,Carangidae,Atule,mate,30,3,3,1,4,3,IM,Piscivores
1895,Carangidae,Caranx,ignobilis,170,6,3,2,1,3,FC,Piscivores
1896,Carangidae,Caranx,bucculentus,66,5,3,2,3,3,FC,Piscivores
1897,Carangidae,Caranx,senegallus,100,6,3,1,5,3,FC,Piscivores
1898,Carangidae,Caranx,heberi,85,6,3,2,3,3,FC,Piscivores
1899,Carangidae,Caranx,rhonchus,60,5,3,1,5,3,FC,Piscivores
19,Balistidae,Balistes,vetula,60,5,2,1,1,2,IM,Macroinvertivores
1900,Carangidae,Caranx,caballus,55,5,3,2,3,3,FC,Piscivores
1903,Carangidae,Alepes,kleinii,16,3,3,2,5,3,PK,Piscivores
1905,Carangidae,Carangoides,gymnostethus,90,6,3,2,3,3,FC,Piscivores
1906,Carangidae,Caranx,melampygus,117,6,3,2,3,3,FC,Piscivores
1907,Carangidae,Carangoides,hedlandensis,32,4,3,2,4,3,IM,Piscivores
1908,Carangidae,Carangoides,oblongus,46,4,3,2,3,3,FC,Piscivores
1909,Carangidae,Carangoides,orthogrammus,75,5,3,2,3,3,FC,Piscivores
1910,Carangidae,Carangoides,plagiotaenia,50,4,3,2,3,3,FC,Piscivores
1911,Carangidae,Carangoides,praeustus,25,3,3,2,4,3,FC,Piscivores
1912,Carangidae,Carangoides,talamparoides,30,3,3,2,3,3,FC,Piscivores
1913,Carangidae,Carangoides,bartholomaei,100,6,3,1,5,3,FC,Piscivores
1914,Carangidae,Carangoides,humerosus,25,3,3,2,3,3,FC,Piscivores
1916,Carangidae,Carangoides,armatus,57,5,3,2,3,3,FC,Piscivores
1917,Carangidae,Caranx,sexfasciatus,120,6,3,2,4,3,IM,Piscivores
1918,Carangidae,Carangoides,ruber,59,5,3,1,5,3,FC,
192,Lutjanidae,Paracaesio,sordida,48,4,3,3,4,3,PK,Crustacivores
1920,Carangidae,Carangoides,equula,37.5,4,3,NA,NA,NA,FC,Piscivores
1921,Carangidae,Carangoides,ferdau,70,5,3,2,4,3,FC,Piscivores
1923,Carangidae,Carangoides,bajad,55,5,3,2,3,3,FC,Piscivores
1924,Carangidae,Carangoides,coeruleopinnatus,40,4,3,2,3,3,FC,Piscivores
1925,Carangidae,Carangoides,dinema,85,6,3,2,3,3,FC,Piscivores
1926,Carangidae,Carangoides,fulvoguttatus,120,6,3,2,4,3,FC,Piscivores
1928,Carangidae,Caranx,tille,80,6,3,2,3,3,FC,Piscivores
1929,Carangidae,Atropus,atropos,26.5,3,3,NA,NA,NA,FC,Piscivores
1930,Carangidae,Ulua,mentalis,100,6,3,2,3,2,IM,Piscivores
1933,Carangidae,Caranx,crysos,70,5,3,1,5,3,FC,Piscivores
1935,Carangidae,Caranx,latus,101,6,3,1,5,3,IM,Piscivores
1936,Carangidae,Caranx,lugubris,100,6,3,2,3,3,FC,Piscivores
1938,Carangidae,Decapterus,macrosoma,35,4,3,3,4,3,PK,Piscivores
1939,Carangidae,Decapterus,maruadsi,25,3,3,NA,NA,NA,PK,Piscivores
194,Lutjanidae,Paracaesio,xanthura,50,5,3,3,4,3,PK,Crustacivores
1940,Carangidae,Decapterus,kurroides,45,4,3,NA,NA,NA,PK,Piscivores
1947,Carangidae,Parastromateus,niger,75,5,3,2,5,3,PK,Piscivores
1948,Carangidae,Pseudocaranx,chilensis,NA,NA,3,NA,NA,NA,FC,Piscivores
1949,Carangidae,Pseudocaranx,wrighti,70,5,3,2,3,3,FC,Piscivores
1950,Carangidae,Scomberoides,commersonnianus,120,6,3,2,3,3,FC,Piscivores
1951,Carangidae,Scomberoides,lysan,110,6,3,2,3,3,FC,Piscivores
1952,Carangidae,Scomberoides,tala,70,5,3,2,1,3,FC,Piscivores
1953,Carangidae,Scomberoides,tol,60,5,3,2,3,3,FC,Piscivores
1954,Carangidae,Selar,boops,25,3,3,2,5,3,PK,Piscivores
1959,Carangidae,Seriola,carpenteri,72.5,5,3,1,4,3,FC,Piscivores
196,Lutjanidae,Pinjalo,pinjalo,80,5,3,3,4,3,IM,Crustacivores
1960,Carangidae,Seriola,hippos,150,6,3,2,3,3,FC,Piscivores
1961,Carangidae,Seriola,peruana,57,5,3,2,3,3,FC,Piscivores
1962,Carangidae,Seriolina,nigrofasciata,70,5,3,2,1,3,FC,Piscivores
1963,Carangidae,Trachinotus,blochii,110,6,3,2,3,3,IM,Piscivores
1964,Carangidae,Trachinotus,mookalee,90,6,3,2,3,3,IM,Piscivores
1965,Carangidae,Trachinotus,botla,75,5,3,2,3,3,IM,Piscivores
1966,Carangidae,Trachinotus,anak,90,6,3,2,3,3,IM,Piscivores
1967,Carangidae,Trachinotus,africanus,92,6,3,2,3,3,IM,Piscivores
1968,Carangidae,Trachinotus,coppingeri,35,4,3,2,3,3,IM,Piscivores
1973,Carangidae,Trachinotus,rhodopus,61,5,3,2,4,1,IM,Piscivores
1974,Carangidae,Trachinotus,stilbe,34,4,3,2,4,1,FC,Piscivores
1975,Carangidae,Trachinotus,goreensis,100,6,3,1,4,2,IM,Piscivores
1976,Carangidae,Trachinotus,maxillosus,80,6,3,1,4,2,IM,Piscivores
1977,Carangidae,Trachinotus,teraia,68,5,3,1,4,2,IM,Piscivores
1978,Carangidae,Trachinotus,baillonii,60,5,3,2,3,3,IM,Piscivores
1979,Carangidae,Trachurus,novaezelandiae,50,5,3,NA,NA,NA,IM,Piscivores
198,Lutjanidae,Pristipomoides,aquilonaris,56,5,2,1,3,3,FC,Piscivores
1981,Carangidae,Trachurus,delagoa,35,4,3,2,3,3,IM,Piscivores
1982,Carangidae,Trachurus,indicus,35,4,3,2,3,3,IM,Piscivores
1983,Carangidae,Uraspis,helvola,58,5,3,3,3,2,IM,Piscivores
1984,Carangidae,Uraspis,uraspis,28,3,3,3,3,1,IM,Piscivores
2024,Pomacentridae,Amphiprion,perideraion,10,2,1,1,3,1,PK,Planktivores
203,Sparidae,Boops,boops,36,4,2,1,3,3,PK,Crustacivores
204,Sparidae,Sarpa,salpa,51,5,2,NA,NA,NA,HM,Crustacivores
2048,Soleidae,Monochirus,hispidus,20,3,2,NA,NA,NA,IM,
205,Lutjanidae,Pristipomoides,freemani,23.29999924,3,2,1,3,3,FC,Crustacivores
207,Bothidae,Bothus,podas,45,4,1,1,1,1,IM,Piscivores
211,Lutjanidae,Pristipomoides,zonatus,50,5,2,NA,NA,NA,IM,Crustacivores
213,Lutjanidae,Rhomboplites,aurorubens,60,5,2,1,4,3,IM,Crustacivores
214,Lutjanidae,Symphorichthys,spilurus,60,5,3,2,1,1,FC,Piscivores
215,Lutjanidae,Symphorus,nematophorus,100,6,3,2,1,1,FC,Piscivores
22452,Ptereleotridae,Parioglossus,taeniatus,NA,1,1,1,4,2,PK,Microinvertivores
22454,Kyphosidae,Girella,stuebeli,24,3,2,1,4,2,HM,Crustacivores
22456,Kyphosidae,Girella,zonata,21,3,2,1,4,2,HM,
22458,Ptereleotridae,Parioglossus,verticalis,NA,1,1,1,4,2,PK,Microinvertivores
22459,Gobiidae,Eviota,zonura,1.7,1,1,1,1,1,IM,
22460,Gobiidae,Gobiodon,albofasciatus,2.5,1,1,1,1,1,IS,
22462,Gobiidae,Gobiodon,quinquestrigatus,4.5,1,1,1,1,1,IS,Planktivores
22463,Gobiidae,Gobiopsis,bravoi,3.4,1,1,1,1,1,OM,Microinvertivores
22466,Gobiidae,Kelloggella,cardinalis,2.5,1,1,1,1,1,OM,
22471,Gobiidae,Kelloggella,quindecimfasciata,2,1,1,1,1,1,OM,
22472,Gobiidae,Opua,nephodes,4.4,1,1,1,1,1,OM,Microinvertivores
22476,Gobiidae,Paragobiodon,lacunicolus,3,1,1,1,1,1,IS,
22477,Gobiidae,Paragobiodon,modestus,3.5,1,1,1,1,1,IS,Microinvertivores
22480,Cirrhitidae,Cirrhitus,atlanticus,16,3,1,1,1,1,IM,Crustacivores
22482,Cirrhitidae,Amblycirrhitus,earnshawi,6.650000095,1,1,1,1,1,IM,Crustacivores
22487,Mugilidae,Chelon,bispinosus,15,3,3,1,4,3,HD,Herbivores Microvores Detritivores
22489,Gobiidae,Paragobiodon,melanosomus,NA,1,1,1,1,1,IS,
22490,Gobiidae,Pleurosicya,bilobata,3,1,1,1,1,1,OM,
22491,Gobiidae,Pleurosicya,muscarum,2.2,1,1,1,1,1,OM,
22492,Gobiidae,Priolepis,farcimen,1.9,1,1,1,1,1,OM,
22493,Gobiidae,Trimma,caesiura,3.5,1,1,1,3,1,PK,Microinvertivores
22494,Gobiidae,Trimma,eviotops,2.1,1,1,1,1,1,PK,
22495,Gobiidae,Trimma,naudei,3.5,1,1,1,3,1,PK,Microinvertivores
22497,Kraemeriidae,Kraemeria,bryani,NA,1,1,1,1,1,OM,
22498,Labridae,Centrolabrus,trutta,18,3,2,1,1,2,IM,
22513,Labridae,Lappanella,fasciata,15,3,2,1,1,2,IM,Microinvertivores
22515,Blenniidae,Salarias,segmentatus,11,2,1,1,1,1,OM,Herbivores Microvores Detritivores
22521,Labridae,Thalassoma,ascensionis,10,2,2,1,4,2,PK,Microinvertivores
22522,Soleidae,Aseraggodes,melanostictus,6,1,1,NA,NA,NA,IM,
22527,Labridae,Xyrichtys,blanchardi,21.20000076,3,2,1,1,2,IM,Planktivores
22528,Labridae,Xyrichtys,sanctaehelenae,23.29999924,3,2,1,1,2,IM,Macroinvertivores
22538,Scaridae,Nicholsina,usta collettei,24,3,2,1,3,2,HD,
22541,Soleidae,Aseraggodes,whitakeri,4,1,1,2,1,1,IM,
22544,Soleidae,Soleichthys,heterorhinos,18,3,2,2,1,1,IM,
22546,Scaridae,Sparisoma,strigatum,45,4,2,1,3,2,HD,Herbivores Microvores Detritivores
22547,Monacanthidae,Brachaluteres,taylori,5,1,2,1,1,1,IM,sessile invertivores
22602,Ophichthidae,Myrophis,microchir,39,4,1,3,1,1,IM,Crustacivores
22613,Ophichthidae,Brachysomophis,porphyreus,129.5,6,1,3,1,1,FC,Piscivores
22620,Blenniidae,Spaniblennius,riodourensis,5.099999905,1,1,1,1,1,IM,Herbivores Microvores Detritivores
22621,Ophichthidae,Ophichthus,evermanni,87,6,1,3,1,1,IM,
22622,Ophichthidae,Ophichthus,asakusae,70,5,1,3,1,1,IM,Crustacivores
22624,Ophichthidae,Ophichthus,tsuchidae,50,5,1,3,1,1,IM,Crustacivores
22631,Blenniidae,Lipophrys,velifer,5.78000021,1,1,1,1,1,OM,
22638,Blenniidae,Parablennius,goreensis,7,2,1,1,1,1,OM,Herbivores Microvores Detritivores
22645,Blenniidae,Parablennius,verryckeni,4.900000095,1,1,1,1,1,OM,Herbivores Microvores Detritivores
22660,Blenniidae,Scartella,nuchifilis,6.579999924,1,1,1,1,1,HD,Herbivores Microvores Detritivores
22662,Blenniidae,Scartella,springeri,8.170000076,2,1,1,1,1,HD,Herbivores Microvores Detritivores
22665,Blenniidae,Entomacrodus,cadenati,6.880000114,1,1,1,1,1,HD,Herbivores Microvores Detritivores
22667,Blenniidae,Entomacrodus,textilis,6,1,1,1,1,1,HD,Herbivores Microvores Detritivores
22684,Labrisomidae,Malacoctenus,africanus,7.349999905,2,1,1,1,1,IM,
227,Megalopidae,Megalops,cyprinoides,150,6,3,2,3,3,FC,
22729,Gobiidae,Bathygobius,burtoni,8,2,1,1,3,1,IM,Microinvertivores
22734,Gobiidae,Corcyrogobius,lubbocki,2,1,1,1,1,1,IM,
22739,Gobiidae,Didogobius,kochi,5.800000191,1,1,1,1,1,IM,Microinvertivores
22761,Gobiidae,Gobius,rubropunctatus,8,2,1,1,3,1,IM,Microinvertivores
22765,Gobiidae,Gobius,senegambiensis,7.300000191,2,1,1,3,1,IM,Microinvertivores
22768,Gobiidae,Gorogobius,nigricinctus,4,1,1,1,3,1,IM,Microinvertivores
22779,Gobiidae,Lesueurigobius,koumansi,11,2,1,1,1,1,IM,Microinvertivores
22781,Gobiidae,Lesueurigobius,sanzi,11,2,1,1,1,1,IM,Microinvertivores
22790,Soleidae,Synaptura,selheimi,15,3,2,NA,NA,NA,IM,
22791,Gobiidae,Nematogobius,brachynemus,5.699999809,1,1,1,1,1,IM,Microinvertivores
22799,Gobiidae,Vanneaugobius,canariensis,4.300000191,1,1,1,1,1,IM,Microinvertivores
228,Albulidae,Albula,vulpes,104,6,2,1,3,2,IM,
22804,Gobiidae,Vanneaugobius,pruvoti,3.900000095,1,1,1,1,1,IM,Microinvertivores
22805,Gobiidae,Wheelerigobius,wirtzi,3.529999971,1,1,1,1,1,IM,Microinvertivores
22812,Microdesmidae,Microdesmus,aethiopicus,5.739999771,1,1,1,1,2,IM,Microinvertivores
22816,Syngnathidae,Hippocampus,trimaculatus,22,3,1,1,1,1,IM,Microinvertivores
22818,Syngnathidae,Hippocampus,whitei,13,2,1,NA,NA,NA,IM,Microinvertivores
22819,Blenniidae,Omobranchus,obliquus,5.6,1,1,1,1,1,HD,Herbivores Microvores Detritivores
22822,Syngnathidae,Nannocampus,pictus,1,2,1,1,1,1,IM,Microinvertivores
22823,Plesiopidae,Plesiops,multisquamata,25,3,1,3,1,1,FC,Crustacivores
22830,Pinguipedidae,Parapercis,punctulata,13,2,2,1,1,1,IM,Crustacivores
22835,Blenniidae,Entomacrodus,epalzeocheilos,11,2,1,1,1,1,OM,Herbivores Microvores Detritivores
22869,Clinidae,Cirrhibarbis,capensis,36,4,1,1,1,1,IM,
22879,Clinidae,Climacoporus,navalis,7,2,1,1,1,1,IM,
22882,Clinidae,Clinoporus,biporosus,13,2,1,1,1,1,IM,
22886,Clinidae,Fucomimus,mus,10,2,1,1,1,1,IM,
22896,Gobiidae,Hetereleotris,apora,3,1,1,1,1,1,IM,
22900,Gobiidae,Hetereleotris,caminata,4,1,1,1,1,1,IM,Microinvertivores
22906,Gobiidae,Hetereleotris,tentaculata,3,1,1,1,1,1,IM,
22908,Gobiidae,Hetereleotris,zanzibarensis,3,1,1,1,1,1,IM,
22919,Moringuidae,Moringua,abbreviata,33,4,1,3,1,1,IM,Microinvertivores
22946,Gobiidae,Hetereleotris,margaretae,3,1,1,1,1,1,IM,
22956,Synodontidae,Synodus,fuscus,17.2,3,2,2,1,1,FC,Piscivores
2300,Balistidae,Balistoides,conspicillum,50,5,2,1,1,1,IM,Macroinvertivores
23010,Gobiidae,Pleurosicya,annandalei,3,1,1,1,1,1,OM,
23012,Muraenidae,Enchelycore,ramosa,150,6,1,3,1,1,FC,Piscivores
23013,Congridae,Gorgasia,maculata,70,5,1,1,5,1,PK,Crustacivores
23079,Gobiidae,Pleurosicya,mossambica,3,1,1,1,1,1,OM,
23082,Gobiidae,Trimma,corallinum,2.5,1,1,1,NA,1,PK,
23083,Syngnathidae,Doryrhamphus,japonicus,8.5,2,1,1,2,1,IM,Microinvertivores
23122,Aracanidae,Anoplocapros,robustus,22,3,2,NA,NA,NA,IM,
23123,Syngnathidae,Trachyrhamphus,serratus,30,4,2,1,1,1,IM,Microinvertivores
23124,Syngnathidae,Trachyrhamphus,longirostris,40,4,2,1,1,1,IM,Piscivores
23125,Tetraodontidae,Arothron,inconditus,40,4,2,2,1,1,IM,Macroinvertivores
23126,Tetraodontidae,Chelonodon,pleurospilus,20,3,1,NA,1,1,IM,Microinvertivores
23130,Muraenidae,Gymnothorax,elegans,64.69999695,5,1,NA,NA,NA,FC,Crustacivores
23138,Syngnathidae,Hippocampus,sindonis,8,2,1,1,1,1,IM,Microinvertivores
23157,Moridae,Lotella,phycis,30,3,2,3,1,1,IM,
